10    -0.41580921411514282 -6.2850651741027832 3.2909047603607178 -2.1587443351745605 0.81257051229476929 0.87334334850311279 0.016249150037765503 -0.11087065935134888 -1.1326124668121338 3.9681887626647949  -1         1 0.51754266023635864 0.582122802734375 1 0 0.39266982674598694 0.92542225122451782 0.95189613103866577 0.5571473240852356 0.95537102222442627 0.79938459396362305 1 0.33150878548622131 1 0.53931534290313721 0.86877036094665527 0.75803911685943604 0.86482131481170654 0.98968654870986938 0.50652432441711426 0.58145344257354736 0.73090988397598267 0.10388398170471191 0.2854321300983429 0.84465539455413818 0.42470920085906982 0.71928369998931885 0.58070093393325806 0.85377961397171021 0.91214972734451294 1 0.096871860325336456 0.50701016187667847 0.78662508726119995 0.440519779920578 0.61171585321426392 
11    -0.81631159782409668 -6.0618448257446289 4.5434575080871582 -2.9221186637878418 1.4544637203216553 0.63854151964187622 0.99328482151031494 -0.78742218017578125 -0.98166608810424805 4.6850099563598633  -1         1 0.5392271876335144 0.582122802734375 1 0.01181848905980587 0.48055911064147949 0.91597378253936768 0.9223971962928772 0.6355973482131958 1 0.69100511074066162 0.73570197820663452 0.38801410794258118 1 0.23793190717697144 0.82762497663497925 0.60627168416976929 0.75767910480499268 0.89810562133789062 0.65208321809768677 0.43396928906440735 0.78139352798461914 0.0072264596819877625 0.56483960151672363 0.92277824878692627 0.43846669793128967 0.79326874017715454 0.87063378095626831 1 0.89364618062973022 0.91259366273880005 0.11504485458135605 0.65190845727920532 0.82433819770812988 0.33647316694259644 0.26305526494979858 
12    -0.94770395755767822 -6.9366130828857422 4.716489315032959 -2.3035125732421875 1.0367443561553955 0.50344479084014893 0.49473223090171814 -1.1102592945098877 -1.2727763652801514 4.9883022308349609  -1         1 0.5392271876335144 0.582122802734375 1 0 0.48055911064147949 0.91597378253936768 0.88033425807952881 0.59399217367172241 0.95537102222442627 0.81943786144256592 0.77896839380264282 0.64078700542449951 0.86780446767807007 0.23107616603374481 0.82762497663497925 0.82729160785675049 0.80581170320510864 0.89810562133789062 0.5630231499671936 0.39818534255027771 0.61001348495483398 0.080553337931632996 0.59055560827255249 0.95940595865249634 0.43846669793128967 0.88068568706512451 1 1 0.78369945287704468 1 0.22773155570030212 0.54939287900924683 0.99588572978973389 0.36379987001419067 0.25509589910507202 
13    -0.14781641960144043 -7.5900931358337402 3.6864900588989258 -2.2381589412689209 0.94815331697463989 0.63043713569641113 -0.12874922156333923 -0.14863678812980652 -1.3267908096313477 5.214388370513916  -1         1 0.5392271876335144 0.582122802734375 0.90345817804336548 0.020209196954965591 0.48055911064147949 0.91597378253936768 0.92560791969299316 0.59399217367172241 0.95537102222442627 0.89144432544708252 0.77896839380264282 0.34043720364570618 0.83871251344680786 0.23107616603374481 0.80219054222106934 0.82729160785675049 0.83673053979873657 0.91430401802062988 0.53231102228164673 0.43805679678916931 0.53109073638916016 0.087291903793811798 0.49675062298774719 0.95940595865249634 0.44975563883781433 0.88068568706512451 0.95395797491073608 0.84879803657531738 0.78369945287704468 1 0.22773155570030212 0.54939287900924683 0.99588572978973389 0.36379987001419067 0.26305526494979858 
14    -0.74490594863891602 -6.9483470916748047 3.5947949886322021 -2.2556161880493164 1.3527336120605469 0.95607846975326538 0.12610575556755066 -0.93122333288192749 -1.2498067617416382 5.8634405136108398  -1         1 0.50846093893051147 0.55671435594558716 1 0.018970396369695663 0.48055911064147949 0.91597378253936768 0.9223971962928772 0.63881093263626099 0.95537102222442627 0.92409545183181763 0.82164359092712402 0.50386077165603638 0.92036134004592896 0.39373457431793213 0.82762497663497925 0.88223999738693237 0.82487630844116211 0.89810562133789062 0.67480683326721191 0.43805679678916931 0.79329907894134521 0.088150143623352051 0.5911862850189209 0.88700073957443237 0.38105958700180054 0.81096839904785156 0.94317233562469482 0.68792980909347534 0.78369945287704468 1 0.11504485458135605 0.54939287900924683 0.81288599967956543 0.36379987001419067 0.26305526494979858 
15    -1.0615817308425903 -7.6510419845581055 4.8211207389831543 -2.9486091136932373 1.580162525177002 0.7202993631362915 0.70042264461517334 -0.53120756149291992 -1.3972766399383545 6.8935809135437012  -1         1 0.57762432098388672 0.582122802734375 0.98626887798309326 0.0051079122349619865 0.16281497478485107 0.95294857025146484 0.92018663883209229 0.60961788892745972 1 0.85401678085327148 0.88950365781784058 0.33150878548622131 0.81578743457794189 0.53931534290313721 0.76334148645401001 0.88636422157287598 0.94368904829025269 0.9163287878036499 0.37652626633644104 0.27333778142929077 0.85167133808135986 0.023852871730923653 0.36197680234909058 0.76057475805282593 0.42470920085906982 0.76028305292129517 0.44215995073318481 0.73553711175918579 0.8538251519203186 1 0.045205812901258469 0.51483404636383057 0.89622187614440918 0.25550800561904907 0.67106723785400391 
16    -0.63453376293182373 -7.2274360656738281 3.9875080585479736 -2.5295984745025635 1.4366064071655273 0.98414498567581177 0.16929778456687927 -0.071111381053924561 -1.5298217535018921 5.8783202171325684  -1         0.795204758644104 0.57762432098388672 0.74397265911102295 1 0.044215507805347443 0.46090936660766602 0.92542225122451782 0.90586495399475098 0.60961788892745972 1 0.84532386064529419 0.88950365781784058 0.064169913530349731 1 0.40083262324333191 0.90575063228607178 0.77480173110961914 1 0.9163287878036499 0.69583415985107422 0.20215761661529541 0.72475653886795044 0 0.56483960151672363 0.7271459698677063 0.42470920085906982 0.79326874017715454 0.56935060024261475 0.87914192676544189 0.82800197601318359 0.98846900463104248 0.074014425277709961 0.38826131820678711 0.77131706476211548 0.36399877071380615 0.58023905754089355 
17    -0.4579206109046936 -8.2213315963745117 4.2304039001464844 -2.2313649654388428 1.5045254230499268 -0.78764957189559937 0.53131961822509766 -0.014151096343994141 1.2999973297119141 9.9387969970703125  -1         0.99836558103561401 0.75933104753494263 0.30110719799995422 0.23961527645587921 0.075012512505054474 0.44772708415985107 1 0.59835869073867798 0.64251035451889038 0.4442862868309021 0.68692892789840698 0.48809295892715454 1 0.9255908727645874 0.30279844999313354 0.1873900294303894 0.57043790817260742 0.94469356536865234 0.57192516326904297 0.26708260178565979 0.75785994529724121 0.92602497339248657 0 0.3971182107925415 0.63388925790786743 0.55762100219726562 0.5883948802947998 0.86496269702911377 0.78404265642166138 0.50206148624420166 0.783672034740448 0 0.25012779235839844 0.72360712289810181 0.35133665800094604 0.48989072442054749 
18    -0.33471167087554932 -7.8079771995544434 4.4096817970275879 -2.2557206153869629 1.367160439491272 0.22152949869632721 0.52000093460083008 -0.038752257823944092 -0.65921211242675781 6.4488401412963867  -1         1 0.5392271876335144 0.582122802734375 1 0.020209196954965591 0.48055911064147949 0.91597378253936768 0.9223971962928772 0.64475017786026001 0.98976820707321167 0.88805800676345825 0.71897906064987183 0.45796006917953491 1 0.31285557150840759 0.82762497663497925 0.89333456754684448 1 0.76476448774337769 0.87232846021652222 0.66750115156173706 0.85417437553405762 0.05062364786863327 0.60093653202056885 0.92277824878692627 0.43846669793128967 0.95064002275466919 0.77353399991989136 1 0.78369945287704468 1 0.11504485458135605 0.54939287900924683 0.93328714370727539 0.36379987001419067 0.26305526494979858 
19    -0.716899573802948 -6.4760127067565918 3.4268975257873535 -2.5441784858703613 1.2934274673461914 -1.2567523717880249 0.39152190089225769 -0.094621896743774414 2.2742748260498047 9.3122930526733398  -1         0.886971116065979 0.75933104753494263 0.17684553563594818 0.23961527645587921 0.075012512505054474 0.44772708415985107 1 0.59835869073867798 0.64251035451889038 0.50134825706481934 0.78283506631851196 0.48809295892715454 0.99303358793258667 0.94975948333740234 0.30954945087432861 0.1873900294303894 0.53486162424087524 0.94469356536865234 0.57192516326904297 0.26708260178565979 0.75785994529724121 0.92602497339248657 0 0.3971182107925415 0.66009479761123657 0.55762100219726562 0.5883948802947998 0.86496269702911377 0.78404265642166138 0.50206148624420166 0.783672034740448 0 0.25012779235839844 0.72360712289810181 0.35133665800094604 0.48989072442054749 
